 : 1
51% : 3
51%-owned : 1
51,000 : 1
51-49 : 1
51-foot : 1
51-footer : 1
51-mile : 1
51-minute : 1
51-seat : 1
51-year-old : 3
51.37 : 1
51.4 : 1
51.6 : 2
51.7 : 3
51.856 : 1
510 : 1
5100 : 2
5100m : 1
510740 : 1
511 : 1
511,000 : 1
511.1 : 1
511894 : 1
511c : 1
512 : 1
512K : 5
513 : 2
51317 : 1
514 : 1
514.1 : 2
514p : 1
515.4 : 2
515.81 : 1
515p : 1
516p : 1
517 : 1
517p : 1
518 : 1
5184 : 1
5186 : 1
518i : 1
518p : 2
519 : 2
519.5 : 1
51a : 1
51dB : 1
51p : 2
51st : 9
51° : 1
51–1 : 1
51–53 : 1
52 : 114
52% : 5
52,000 : 7
52-3 : 1
52-minute : 1
52-storey : 1
52-week : 1
52-year-old : 4
52.1 : 1
52.6 : 1
52.7% : 1
52.8 : 1
520 : 4
520,000 : 1
5200 : 1
52085 : 1
520ST : 1
520ST-FM : 1
520m : 1
520p : 1
520watt : 1
521521 : 1
522 : 4
5222 : 1
5224 : 1
523 : 1
523p : 1
524 : 1
525 : 1
525,000 : 2
525-cubic : 1
5250rpm : 3
52511 : 1
5254 : 1
525i : 2
526 : 1
526.5kHz : 1
5260 : 1
527.08 : 1
5272648 : 1
528,764 : 1
528421 : 1
528800 : 1
528p : 4
529292 : 1
529m : 1
52BC : 1
52nd : 3
52pc : 1
52secs : 1
52–53 : 1
52′ : 1
53 : 101
53% : 6
53,000 : 3
53,800 : 1
53,900 : 1
53-YEAR-OLD : 1
53-hour : 2
53-point : 1
53-year : 1
53-year-old : 2
53.19sec : 1
53.4 : 1
53.5 : 1
53.6 : 1
53/4p : 3
530 : 6
53045 : 1
5306 : 1
530bhp : 1
530p : 2
530s : 1
531 : 1
532 : 2
5323 : 1
5335 : 1
533p : 3
534 : 8
534kHz : 1
534p : 2
535(2) : 1
5358 : 1
535cc : 1
535i : 3
535p : 2
537 : 1
538.7 : 3
53809 : 1
53835 : 1
538p : 1
539 : 6
53m : 1
53mpg : 1
53p : 1
53pp : 1
53rd : 7
53s : 2
53sec : 1
53x53cm : 2
53° : 1
53–54 : 1
54 : 79
54% : 4
54,000 : 3
54,360 : 1
54,400 : 1
54,625,000 : 1
54,800 : 1
54,826 : 1
54- : 1
54-1 : 1
54-page : 1
54-year-old : 6
54.3 : 1
54.3% : 1
54.46sec : 1
54.6 : 1
54.6% : 1
54.97 : 1
540 : 6
540,000 : 2
540-strong : 1
5407 : 2
540p : 2
540pto : 1
540–1000 : 1
540–510 : 1
541.6 : 1
542 : 2
542,000 : 1
542.6 : 3
542nd : 1
543 : 1
543-member : 1
543.8 : 1
544 : 3
544.1mph : 1
544.2m : 1
5446 : 1
544699 : 1
544–5 : 1
545 : 1
5466 : 1
547 : 1
547.6 : 1
547.8 : 3
5478 : 1
548 : 3
54853 : 1
548p : 1
549 : 2
549.5 : 1
54BC : 1
54g : 1
54p : 1
54sec : 1
54th : 4
54½p : 1
54–34% : 1
54–55kg/hl : 1
54″ : 1
55 : 130
55% : 8
55,000 : 9
55,383 : 1
55,56 : 1
55,600 : 1
55,937,000 : 1
55,946 : 1
55-64 : 1
55-nation : 1
55-pluses : 1
55-strong : 1
55-year : 1
55-year-old : 3
55.45 : 1
55.5 : 1
55.8 : 2
55.8% : 1
55.9x40.6 : 1
550 : 23
550,00 : 1
550,000 : 1
5500 : 3
55003 : 1
5500rpm : 1
55015 : 1
5503 : 1
55032 : 1
5504 : 1
55057 : 1
550bhp : 1
550cc : 1
550ha : 1
550mm : 1
550p : 6
550watt : 1
551 : 2
551.3 : 1
5511 : 1
552 : 2
552.0 : 1
552p : 2
553-2700 : 1
553.8 : 1
553p : 3
554 : 3
554,015 : 1
5540 : 1
554854 : 1
554p : 1
555 : 1
55503/55523 : 1
5559 : 1
555m : 1
555p : 1
556 : 1
556,000 : 1
5562618 : 1
5568 : 1
558 : 2
5587 : 1
559-568 : 1
5593 : 1
55972 : 1
55982 : 1
55bhp : 2
55g : 2
55kg/N/ha : 1
55m : 1
55mm : 1
55p : 8
55s : 2
55th : 7
55–1 : 2
55–45 : 1
55–57 : 1
55–59 : 1
55–61 : 1
55–64 : 1
55–70 : 1
56 : 91
56% : 8
56,000 : 2
56,826 : 1
56,884 : 1
56-day : 1
56-minute : 1
56-secon : 1
56-year-old : 2
56.4 : 1
56.7 : 3
560 : 3
560,026 : 1
560,875 : 1
560-mile : 1
5600gns : 2
5600rpm : 1
56015 : 1
560423 : 1
560p : 4
560s : 1
561 : 4
561p : 1
5621m : 1
5622 : 1
563 : 1
5633 : 1
564084 : 1
5642 : 1
5644 : 1
5653 : 2
5656 : 1
565BC : 1
565p : 2
5665 : 1
568 : 1
568p : 1
569 : 2
56B : 2
56kph : 1
56m : 1
56mph : 1
56p : 5
56per : 1
56pp : 1
56s : 2
56sec : 2
56th : 3
56–57 : 2
56–65 : 1
57 : 80
57% : 4
57,000 : 7
57-10 : 1
57-60 : 1
57-megaton : 1
57-year-old : 1
57.2 : 3
57.2m : 1
57.5p : 3
57.6 : 1
570 : 5
570-acre : 1
570m : 1
570p : 2
5711 : 1
5720 : 1
5723 : 1
5725 : 1
572:608 : 1
572p : 1
5730 : 2
573665 : 2
573p : 3
574 : 2
574548 : 1
574p : 1
5750/ISO : 1
5750rpm : 1
575237 : 1
576 : 2
576920 : 1
576p : 1
577 : 2
577.38 : 1
578 : 4
579-2424 : 1
579p : 1
57p : 1
57th : 2
57° : 1
57½p : 1
57–61 : 1
58 : 86
58% : 3
58,000 : 2
58,160 : 1
58-3 : 1
58-53 : 1
58-footer : 1
58-year-old : 1
58.1 : 1
58.1x47.5 : 1
58.5 : 3
58.6sec : 1
58.7 : 1
580 : 4
580100 : 1
58016 : 1
58017 : 1
58018 : 1
58026 : 1
580405 : 1
580ft : 1
580p : 2
580s : 1
581 : 1
58154 : 1
581p : 2
582 : 3
583 : 3
583-strong : 1
5833 : 1
5835 : 1
583619 : 1
583928 : 1
5848 : 1
585 : 1
585p : 6
586 : 3
5869451 : 1
587 : 2
587,000 : 1
588 : 1
588305 : 1
5885 : 1
588p : 3
589 : 4
5890 : 1
5895 : 1
58m : 1
58mpg : 1
58p : 2
58pp : 2
58sec : 1
58th : 4
58°C : 1
59 : 94
59% : 5
59,400 : 1
59,690 : 1
59-year-old : 2
59.0 : 3
59.4 : 3
59.5 : 1
59.5p : 1
59.6 : 1
59.9 : 3
59.94 : 1
5900 : 1
59001 : 1
59004 : 1
5900rpm : 2
590650 : 1
590682 : 1
590p : 2
590p–600p : 1
590–604 : 2
592 : 4
5922 : 1
5930 : 1
5932 : 1
594914 : 1
595 : 2
595522 : 2
597 : 1
597000 : 1
597p : 1
5998 : 1
599p : 3
59min : 1
59p : 4
59½p : 1
59–14–0 : 1
59–55 : 1
59–68°F : 1
5:17 : 2
5:4 : 1
5=excellent : 1
5AAA : 1
5AH : 1
5AJ : 1
5AMP : 1
5AP : 1
5AS : 2
5AU : 1
5BU : 1
5C : 2
5CV : 1
5DD : 1
5DT : 5
5EB : 1
5EH : 1
5GDC : 1
5HE : 1
5HJ : 1
5JD : 1
5JE : 1
5JW : 2
5LE : 1
5NE : 1
5NH : 1
5Ocm : 1
5PE : 1
5QA : 1
5QD : 1
5QS : 1
5SH : 1
5TH : 1
5UG : 1
5V : 4
5XH : 1
5XL : 1
5a : 4
5am : 9
5b : 10
5c : 11
5c+/6a : 1
5c/6a : 3
5cm : 2
5cm/2in : 1
5cs : 1
5cu : 1
5cwt/acre : 1
5d : 1
5d. : 2
5deg : 1
5ft : 38
5ft. : 1
5g : 1
5gal : 2
5gals : 1
5hr : 1
5in : 12
5ins : 2
5ins. : 1
5kV/div : 1
5kg : 1
5kg/11lb : 1
5km : 2
5lb : 11
5lbs : 1
5m : 19
5m-high : 1
5m/16ft : 2
5mA : 1
5micron : 2
5min : 8
5mins : 1
5ml : 3
5ml/tsp : 27
5mm : 1
5oz : 1
5p : 23
5pc : 1
5per : 2
5pm : 23
5s : 2
5s. : 5
5th : 71
5°C : 3
5¼ : 1
5¼p : 2
5½ : 8
5½p : 4
5¾ : 3
5–0 : 6
5–1 : 13
5–1/2 : 1
5–10 : 6
5–10% : 1
5–10min : 1
5–11 : 2
5–12–8 : 1
5–14–0 : 2
5–14–8 : 1
5–2 : 4
5–2–0 : 1
5–2–8 : 1
5–3 : 5
5–4 : 2
5–5 : 1
5–6 : 14
5–6% : 2
5–6,000 : 1
5–6ft : 2
5–6in : 1
5–6ins/12–15cm : 1
5–6–0 : 1
5–7 : 8
5–7% : 2
5–7–0 : 1
5–8 : 1
5–8cm : 1
5–8min : 1
5–9 : 1
5′ : 3
5′4″ : 1
5′7″ : 1
6 : 930
6% : 30
6&1/4% : 1
6+3 : 1
6,000 : 50
6,000-plus : 1
6,000-strong : 2
6,000-tonne : 1
6,000-year-old : 1
6,000cc : 1
6,000fr : 1
6,000ft : 1
6,000hp-plus : 1
6,000–6,500 : 1
6,047 : 1
6,10 : 1
6,160 : 1
6,169 : 1
6,200 : 2
6,220kg : 1
6,250 : 1
6,260 : 1
6,300 : 1
6,304km : 1
6,342 : 1
6,387 : 1
6,400 : 1
6,447ft : 1
6,500 : 3
6,500-strong : 1
6,589.07 : 1
6,600 : 1
6,652 : 1
6,673 : 1
6,7,8,15,28–29 : 1
6,7,8,9 : 1
6,700 : 1
6,733 : 1
6,750 : 1
6,750cc : 1
6,776 : 1
6,800 : 1
6,900 : 1
6,939 : 1
6,940 : 1
6,952 : 1
6-0 : 10
6-1 : 31
6-10 : 1
6-11 : 1
6-15 : 1
6-2 : 33
6-3 : 33
6-4 : 40
6-5 : 7
6-6 : 3
6-7 : 8
6-7pm : 1
6-8 : 4
6-9 : 2
6-9-year-old : 1
6-Australia : 1
6-Billingham : 1
6-Telford : 1
6-Up : 1
6-a-side : 1
6-cum-Paul : 1
6-cylinder : 5
6-inch : 1
6-month : 3
6-week : 1
6-year-old : 1
6. : 6
6.0 : 2
6.00 : 5
6.04 : 1
6.08 : 1
6.1 : 11
6.1% : 2
6.10 : 1
6.10.91 : 1
6.11 : 2
6.11p : 1
6.12 : 1
6.13 : 1
6.14 : 2
6.15 : 4
6.15pm : 1
6.19 : 1
6.1a : 1
6.1b : 2
6.1million : 2
6.1secs : 1
6.2 : 12
6.2% : 4
6.2(c) : 1
6.20am : 2
6.22 : 1
6.22p : 1
6.23p : 1
6.25 : 1
6.25% : 3
6.25/ha : 1
6.25–9.10 : 1
6.2lb : 1
6.2mph : 1
6.2p : 2
6.3 : 10
6.3% : 3
6.30 : 17
6.30am : 4
6.30pm : 4
6.30–7pm : 1
6.32 : 1
6.34% : 1
6.35:24 : 1
6.37p : 1
6.38 : 1
6.3a : 1
6.3b : 1
6.3fl : 2
6.3p : 1
6.3secs : 1
6.3t/ha : 2
6.4 : 11
6.4% : 7
6.40am : 2
6.45 : 1
6.4sec : 1
6.5 : 49
6.5% : 7
6.5(c) : 1
6.50 : 1
6.5ha : 1
6.5kg : 1
6.5m : 4
6.5p : 1
6.5pc : 1
6.5secs : 3
6.5sq : 1
6.5–7 : 1
6.5–7.5 : 1
6.6 : 7
6.6% : 3
6.6-litre : 1
6.6.77 : 1
6.615 : 1
6.64sec : 1
6.68 : 1
6.69p : 1
6.6lb : 1
6.6secs : 2
6.7 : 7
6.7% : 3
6.7-litre : 2
6.74 : 1
6.75 : 1
6.75% : 2
6.7secs : 1
6.8 : 10
6.8% : 1
6.8p : 1
6.8secs : 2
6.8t/ha : 1
6.8–7.5t/ha : 1
6.9 : 11
6.9% : 1
6/ : 1
6/0 : 1
6/11/87 : 3
6/11/89 : 1
6/200&C/400&F : 1
6/200°C/400°F : 2
6/6 : 1
6/6/87 : 1
6/8 : 3
6/8/13/15/22/29 : 1
6/86 : 1
60 : 518
60% : 49
60's : 11
60,000 : 26
60,000-hectare : 1
60,000-strong : 1
60-100 : 1
60-18 : 1
60-bedroom : 1
60-clause : 1
60-fold : 1
60-foot : 1
60-hole : 1
60-hour : 4
60-litre : 1
60-metre : 1
60-mile : 1
60-minute : 3
60-odd : 3
60-seat : 1
60-strong : 1
60-year-old : 3
60.2 : 1
60.3 : 2
60.5 : 1
60.8 : 2
60/40 : 2
60/sq : 1
600 : 115
600,000 : 40
600-page : 1
600-strong : 1
600.6mph : 1
6000 : 13
6000-mile : 1
60002 : 1
60005 : 1
60006 : 1
60007 : 1
6000BC : 1
6000ft : 1
6000rpm : 6
60059 : 1
60080 : 1
600AD : 1
600BC : 2
600SEL : 4
600ft : 3
600kV : 1
600kg/ha : 1
600lbs : 1
600m : 1
600ml : 1
600mm : 2
600mph : 2
600p : 6
600th : 1
600°C : 1
600–2000 : 1
600–500 : 1
600–700 : 1
601 : 2
601/2p : 1
60128 : 1
6016 : 1
6017 : 1
601733 : 1
60191 : 1
602 : 11
6025 : 1
60269 : 1
60273 : 1
6028 : 1
602p : 1
60302 : 1
604 : 1
604p : 3
605 : 6
605-2 : 1
6058 : 3
605SV1 : 1
605p : 5
605s : 1
606 : 1
6065 : 1
6068 : 1
606933 : 1
606p : 2
608 : 1
608-gramme : 1
608.5p : 1
60815 : 1
60831 : 1
608311 : 1
60864 : 1
608661 : 1
60896 : 1
609 : 1
6092 : 1
6092DWK : 2
60939 : 1
609p : 1
60:1 : 1
60:40 : 6
60Hz : 9
60V : 1
60cm : 4
60deg : 1
60ft : 4
60g/2oz : 1
60gal : 1
60ha : 1
60in : 1
60kg : 2
60lbs : 1
60m : 2
60min : 1
60ml : 4
60mm : 2
60mph : 19
60p : 8
60p-a-share : 1
60pp : 1
60s : 26
60th : 9
60° : 8
60°F : 3
60°–70°F : 1
60–61 : 1
60–64 : 1
60–69 : 2
60–70 : 4
60–70% : 1
60–80 : 2
60–80% : 1
60–800x : 1
60–90 : 1
60–90cm : 1
60″ : 1
61 : 85
61% : 5
61,000 : 2
61-milers : 1
61-year-old : 1
61.2 : 1
61.3 : 1
61.6m : 1
61.94 : 1
610 : 1
6104 : 1
61094 : 3
610mm : 3
61111 : 1
61127 : 1
61145 : 2
61152 : 1
61158 : 2
6116 : 1
6120 : 1
61212 : 1
61225 : 1
6128 : 1
61283 : 1
612km : 1
612p : 2
613,000 : 1
61312 : 2
61367 : 1
61383 : 1
614 : 2
6148 : 1
614p : 1
6155 : 1
615p : 1
6164 : 1
6165 : 2
617 : 2
617,000 : 1
617p : 1
61870 : 1
619 : 2
61960 : 1
619p : 1
61min : 2
61p : 2
61pp : 1
61st : 4
61–100% : 1
61–3 : 1
62 : 80
62% : 7
62,000 : 2
62-year-old : 4
62. : 1
62.1 : 4
62.4 : 1
62.4% : 1
62.5 : 2
62.5p : 1
62.7 : 1
620 : 6
6200 : 1
6200rpm : 1
620137 : 1
6206 : 1
620986 : 1
620s : 1
621 : 3
6213 : 1
621414 : 1
622548 : 1
623.07 : 1
623X : 1
624 : 3
625 : 4
625-member : 1
625-strong : 1
625MHz : 1
626 : 1
62664/3 : 1
62666 : 1
62667 : 1
62668 : 1
627 : 3
6279 : 1
62800m : 1
6282 : 2
62852 : 1
629 : 3
629962 : 1
62ft : 1
62km : 1
62mph : 3
62nd : 6
62p : 10
62pc : 1
63 : 86
63% : 5
63,000 : 3
63,500 : 1
63,669 : 1
63-year-old : 1
63.5 : 1
630 : 4
630,000 : 2
630-mile : 2
6300rpm : 2
630AD : 1
630VS : 1
630p : 1
631100 : 1
6318 : 1
632 : 3
6320 : 1
63240 : 1
6329 : 1
633 : 3
633038 : 1
63381 : 1
63396 : 1
633p : 1
634 : 1
634.84 : 1
63405–2 : 1
63412 : 1
63508 : 1
635666 : 1
63573 : 1
635p : 1
636 : 5
63604 : 1
6363 : 2
63678 : 1
637 : 3
63701 : 1
63734 : 1
637p : 4
638 : 4
63827 : 1
639 : 2
639,000 : 1
63902 : 1
63910 : 1
6391m : 1
639p : 3
63CPE : 1
63mm : 1
63rd : 4
63rd-minute : 1
63th : 1
63–4 : 1
63–70 : 1
64 : 80
64% : 7
64-11 : 2
64-bit : 1
64-character : 1
64-day : 1
64-megabit : 4
64-page : 1
64-run : 1
64-wide : 1
64-year : 1
64-year-old : 3
64.2 : 1
64.8ins : 1
640 : 6
640,000 : 1
6400 : 2
6400-km : 1
6400kg : 1
6400rpm : 1
64027 : 1
64032 : 1
64075 : 1
640K : 2
640–41 : 1
641 : 1
64162 : 1
64180 : 1
64183 : 1
641972 : 1
642 : 2
642350 : 1
6424 : 1
644 : 2
644.82 : 1
644592 : 1
644p : 1
645 : 1
645p : 2
646p : 1
647047 : 1
647p : 1
648 : 3
64872 : 1
648p : 4
649-bedroom : 1
6494 : 1
6497 : 1
64C : 5
64K : 3
64ins : 1
64p : 1
64th : 6
64th-minute : 2
65 : 135
65% : 7
65%-owned : 1
65+ : 2
65,000 : 3
65,300 : 1
65-40 : 1
65-foot : 1
65-plus : 2
65-room : 1
65-year-old : 2
65.2 : 2
650 : 24
650,000 : 4
650-acre : 1
650-odd : 1
6500 : 2
6500gns : 1
6500rpm : 2
6502 : 1
6502-type : 1
650891 : 1
650p : 2
651 : 2
651175 : 1
652 : 1
6521 : 1
65211 : 1
6524 : 1
65281 : 1
653 : 3
653p : 1
654 : 4
654398 : 1
655 : 1
655p : 1
656 : 2
6561 : 1
6563 : 1
656438 : 1
658 : 1
658p : 1
6596 : 1
659771 : 1
659966 : 1
65W : 1
65XE : 2
65ft : 2
65min : 2
65p : 2
65s : 1
65th : 4
65th-minute : 1
65°. : 1
65–70 : 1
65–70p : 1
65″ : 1
66 : 90
66% : 2
66,500 : 2
66,600,000 : 1
66-0 : 1
66-70AD : 1
66-minute : 2
66-year : 2
66.2 : 1
66/76 : 1
660 : 4
660,000 : 1
6600rpm : 1
6601 : 1
660MW : 1
660gal : 1
660mm : 1
6615121 : 1
662 : 1
662233 : 1
6627 : 1
662p : 1
663-2 : 1
66314 : 1
66320 : 1
6633 : 1
66350 : 1
66380 : 1
663869 : 2
663p : 1
664944 : 1
664p : 1
665 : 3
6658 : 1
666 : 2
6665-hours : 1
666666 : 2
666p : 2
667,000 : 1
667-share : 1
668 : 4
668242 : 1
669 : 2
669,532 : 1
669p : 3
66AD : 1
66ft : 1
66g : 1
66min : 1
66p : 3
66th : 2
66th-minute : 1
66–1 : 4
66–74 : 1
66–9 : 1
67 : 62
67% : 6
67,000 : 2
67,420,000 : 2
67,450 : 1
67,788 : 1
67-year : 1
67-year-old : 1
67.2 : 1
67.3% : 1
67.6 : 1
67.7 : 1
67/77 : 1
670 : 2
670,000 : 1
6700 : 2
670092 : 1
6700rpm : 1
670p : 1
6712 : 1
67140 : 1
672 : 1
6722 : 1
673 : 1
6744m : 1
675g/1&lb : 1
675g/1lb : 1
675g/1½lb : 3
675g/1½lb/3 : 1
676 : 1
67770 : 1
677p : 1
678 : 2
679 : 1
679p : 1
67ins : 1
67p : 1
67pp : 1
67s : 2
67th : 4
67° : 5
68 : 68
68% : 7
68(i) : 1
68,000 : 5
68-storey : 1
68-year : 1
68-year-old : 2
68. : 1
68.1ins : 1
68.5 : 1
68.7 : 1
68.7secs : 1
68.8 : 1
680 : 4
680,000 : 1
68000 : 2
6800rpm : 1
68030 : 2
68040 : 1
6808m : 1
680D : 1
680x0 : 1
680–700 : 1
681-907 : 1
681999 : 1
681–1 : 1
682 : 3
683195 : 1
683311 : 1
683924 : 1
683p : 1
684.01 : 1
685222 : 1
685p : 2
686,018 : 1
686.12 : 1
687 : 3
6871 : 1
68733 : 1
6878 : 3
688 : 1
688.47 : 2
688101 : 1
6888 : 3
688p : 1
68F : 1
68kg/hl : 1
68min : 1
68p : 2
68th : 4
68–74 : 1
69 : 101
69% : 6
69,000 : 1
69-67 : 1
69-minute : 1
69-year-old : 4
69.4 : 1
69.52 : 1
69.8 : 1
690 : 2
690,000 : 2
691 : 2
691.26 : 1
6911 : 2
69123/4/5 : 1
691400 : 1
692 : 1
69292 : 1
693 : 3
693.14 : 1
693.97 : 1
6936 : 1
693p : 1
694,500 : 1
6943 : 1
695 : 1
695.74 : 3
69535 : 1
6958 : 1
696 : 1
697m : 1
698,000 : 2
699 : 1
6994 : 1
69min : 1
69mph : 1
69s : 1
69th : 3
6:1 : 1
6:12 : 1
6:13 : 1
6:5 : 1
6A : 1
6AA : 1
6AB : 1
6AN : 1
6AU : 1
6B : 1
6DF : 1
6DG : 1
6DJ : 9
6DL : 1
6DT : 1
6DZ : 1
6EE : 1
6HF : 1
6HP : 1
6HQ : 1
6HR : 1
6HU : 1
6HZ : 1
6JB : 1
6JD : 2
6JG : 1
6JH : 1
6JR : 1
6LA : 1
6LD : 1
6LJ : 1
6LP : 3
6LW : 1
6NA : 1
6NP : 1
6NQ : 1
6NS : 1
6NU : 1
6Omph : 1
6PF : 1
6PQ : 1
6PS : 1
6QB : 1
6QX : 1
6RP : 1
6SL : 1
6SW : 1
6TD : 1
6TE : 1
6TG : 1
6X : 2
6a : 15
6am : 13
6b : 15
6bn : 2
6c : 4
6cm : 4
6cu : 1
6d : 14
6d. : 13
6ds : 1
6ff : 1
6ft : 54
6ft-long : 1
6ft. : 1
6h : 1
6hrs : 2
6in : 29
6ins : 2
6lb : 7
6lbs : 1
6m : 19
6min : 2
6mm : 7
6n-pentyl-2 : 1
6o : 1
6oz : 5
6oz/175g : 5
6p : 27
6p. : 1
6per : 2
6pm : 17
6pm-8pm : 1
6rds : 6
6s. : 2
6th : 79
6th/7th : 1
6univ : 1
6v1–4 : 1
6° : 1
6¼p : 1
6½ : 7
6½d : 1
6½–2½ : 1
6×2ft : 1
6–0 : 7
6–0–0 : 1
6–1 : 24
6–1/2 : 1
6–1/2ft : 4
6–10 : 3
6–10% : 1
6–12 : 1
6–12mm : 1
6–12–0 : 2
6–13 : 1
6–13–0 : 1
6–13–8 : 1
6–14–0 : 1
6–2 : 19
6–21 : 1
6–3 : 15
6–37–19 : 1
6–4 : 29
6–4–12 : 1
6–5 : 1
6–6 : 2
6–60 : 1
6–6–0 : 1
6–7 : 6
6–7% : 2
6–8 : 11
6–8in : 2
6–8–0 : 2
6–9in : 3
6–9–0 : 1
6″ : 4
6⅝ : 1
7 : 638
7% : 33
7&18 : 1
7(15) : 1
7(3) : 1
7,000 : 54
7,000- : 1
7,000-population : 1
7,000ft : 1
7,050 : 1
7,134 : 1
7,150 : 1
7,200 : 1
7,233 : 1
7,246,317 : 1
7,296 : 1
7,400 : 3
7,459 : 1
7,465 : 1
7,500 : 6
7,500ft : 1
7,515 : 1
7,550 : 1
7,597 : 1
7,600 : 3
7,600-mile : 1
7,667,769 : 1
7,676 : 1
7,682 : 1
7,700 : 1
7,750 : 1
7,758 : 1
7,776 : 1
7,787 : 1
7,800 : 1
7,825 : 1
7,848 : 1
7,874 : 1
7,921 : 1
7,931 : 1
7,932 : 1
7-0 : 4
7-1 : 5
7-10 : 1
7-12 : 1
7-2 : 6
7-3 : 3
7-4 : 7
7-5 : 12
7-6 : 23
7-8 : 2
7-9 : 1
7-Chesterfield : 1
7-Eleven : 4
7-Series : 1
7-bit : 7
7-day : 2
7-litre : 1
7-night : 1
7-series : 1
7-tonne : 1
7. : 1
7.0% : 1
7.00 : 10
7.00–8.00 : 1
7.04fl. : 4
7.0secs : 1
7.1 : 8
7.1% : 3
7.1.2 : 1
7.1.3 : 1
7.1.4 : 1
7.10 : 5
7.11 : 4
7.12 : 1
7.13 : 1
7.14 : 1
7.15 : 4
7.16p : 1
7.18 : 2
7.1m : 1
7.1secs : 1
7.2 : 11
7.2.1 : 1
7.2.2 : 1
7.2.3 : 1
7.24–30 : 1
7.25 : 3
7.25% : 1
7.25am : 3
7.25pm : 1
7.25–8.30 : 1
7.2m : 1
7.2sec : 1
7.3 : 18
7.3% : 5
7.30 : 24
7.30am : 5
7.30pm : 21
7.31p : 2
7.35 : 1
7.36–50 : 1
7.38kW : 1
7.3secs : 3
7.4 : 11
7.4% : 3
7.4(h) : 1
7.4-litre : 1
7.40 : 3
7.40am : 1
7.45 : 6
7.45am : 1
7.45am. : 1
7.45pm : 3
7.45–9.20 : 1
7.47 : 1
7.4m/s : 1
7.4secs : 1
7.5 : 38
7.5% : 5
7.5(d) : 2
7.50 : 2
7.52p : 1
7.58p : 1
7.5cm : 1
7.5kg : 1
7.5m : 1
7.5mph : 1
7.5p : 1
7.5secs : 2
7.5t/ha : 2
7.6 : 27
7.6% : 2
7.62mm : 1
7.64p : 1
7.68 : 1
7.6m : 1
7.6mm : 1
7.6secs : 2
7.7 : 10
7.7% : 2
7.75 : 1
7.75% : 1
7.76 : 1
7.7secs : 1
7.8 : 10
7.8% : 1
7.82 : 3
7.83p : 1
7.85 : 1
7.8m : 1
7.9 : 5
7.9% : 1
7.98 : 3
7.9m : 1
7/10 : 2
7/11/87 : 1
7/225°C/425°F : 1
7/3/87 : 1
7/7/87 : 1
7/8 : 1
7/8th : 1
7/9/87 : 1
70 : 349
70% : 42
70's : 1
70's. : 1
70,000 : 39
70-30 : 1
70-bedroom : 1
70-metre : 2
70-plus : 1
70-seater : 1
70-year-old : 5
70. : 2
70.4% : 1
70.8 : 2
70/30 : 3
700 : 62
700,000 : 17
700-litre : 1
700-page : 1
700-plus : 3
700-seat : 1
700-series : 1
700-strong : 1
700-watt : 1
700.70 : 1
7000 : 8
7000-acre : 1
7000rpm : 1
70014 : 1
70014/49 : 1
70048 : 1
700Hz : 1
700hp : 1
700lb : 2
700m : 1
700p : 3
700s : 1
700th : 1
700µs : 1
700–1,000rpm : 1
700–1050 : 1
700–900% : 1
701 : 4
70131 : 1
701601 : 1
702 : 1
7020 : 1
7023 : 1
703 : 3
703131 : 1
704112 : 1
7044 : 1
705 : 1
705p : 2
706 : 1
7061 : 1
707 : 10
707712 : 1
707p : 6
707s : 2
708 : 1
709 : 3
709p : 1
70:30 : 3
70AD : 1
70C : 2
70cc : 1
70cm : 2
70cu : 1
70ft : 4
70lb : 2
70lbs : 1
70m : 2
70min : 2
70mm : 2
70mph : 3
70p : 10
70pp : 2
70s : 15
70th : 9
70th-minute : 1
70° : 2
70–135 : 1
70–75 : 2
70–78% : 1
70–80 : 3
70–90 : 1
71 : 77
71% : 2
71,000 : 2
71,355 : 1
71,730,000 : 1
71-1 : 1
71-acre : 2
71-year-old : 4
71. : 2
71.1% : 1
71.69 : 1
71/2 : 1
710 : 2
710,000 : 1
710276 : 1
7105 : 1
710lbs : 1
711623 : 1
713215 : 1
713320 : 1
713828 : 1
714 : 2
714.00 : 3
7140 : 1
715 : 3
716 : 1
717277 : 1
717962 : 1
719,502 : 1
7190 : 1
7190-2770-5 : 1
71W : 1
71min : 1
71p : 5
71st : 1
71–10 : 1
72 : 126
72% : 5
72,000 : 5
72,000-capacity : 1
72,500 : 1
72,559 : 1
72-20 : 1
72-hole : 3
72-hour : 1
72-member : 1
72-nation : 1
72-seat : 1
72-year-old : 2
72. : 4
72.06 : 1
72.2.3 : 1
72.4% : 1
72.85 : 1
72.9m : 1
720 : 3
720Hz : 1
720K : 1
720p : 1
720s : 1
721 : 3
72190 : 1
721X : 2
722 : 2
7220 : 1
723 : 1
723238 : 1
723507 : 1
723799 : 1
723–4 : 1
724 : 1
7242 : 1
724222 : 1
724226 : 1
724740 : 1
72496 : 1
725 : 3
725453 : 1
726 : 1
7260m : 1
7265 : 1
726lb : 1
727 : 8
7277 : 1
728p : 1
729 : 1
72ins : 1
72kg/hl : 1
72min : 1
72nd : 5
72p : 2
72–10 : 1
72–74 : 1
73 : 81
73% : 6
73,000 : 3
73-lap : 1
73-yard : 1
73-year : 1
73.2 : 1
73.25 : 1
73.5 : 2
73.5p : 1
730 : 5
731 : 2
73120 : 1
73123 : 1
73142 : 1
73156 : 1
731m : 1
731p : 5
732 : 4
7320kg : 2
732272 : 1
